time,load_Nord,load_West,load_Ost,load_Süd,wind_Nord,wind_West,wind_Ost,wind_Süd,pv_Nord,pv_West,pv_Ost,pv_Süd
2025-01-01 00:00:00,8519.08095,15145.0328,9465.6455,14198.46825,0.9895425381422476,0.7495142380491694,0.8500719764713333,0.2406860147857535,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,8323.85835,14797.9704,9248.7315,13873.09725,0.9927774119372524,0.7799924440277183,0.8611121187176596,0.2575262041395804,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,8109.321749999999,14416.572,9010.3575,13515.53625,0.9957566906497552,0.7987479914061475,0.8871774798432238,0.2774944258013178,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,7928.587349999999,14095.266399999999,8809.5415,13214.312249999999,0.9954131031482726,0.8195558420039478,0.9117131056999228,0.3077955056701883,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,7966.97055,14163.503200000001,8852.1895,13278.28425,0.9983442989919185,0.8227058988961863,0.928523461462484,0.3286372925421423,0.0,0.0,0.0,0.0
2025-01-01 05:00:00,7849.327499999999,13954.36,8721.475,13082.2125,0.9987350060552908,0.8132563633394496,0.9360508694485632,0.339805744557808,0.0,0.0,0.0,0.0
2025-01-01 06:00:00,7915.0509,14071.201600000002,8794.501000000002,13191.7515,0.9968777562485692,0.8334364029794394,0.9466273087414196,0.3654768874488533,0.0,0.0,0.0,0.0
2025-01-01 07:00:00,8300.2194,14755.945600000001,9222.466,13833.699,0.9971914587455232,0.8847270127531197,0.9535298631612044,0.3962926252222642,0.0,0.0,0.0,0.0
2025-01-01 08:00:00,8665.275599999999,15404.9344,9628.084,14442.125999999998,0.951009219807406,0.9213794395983484,0.9558334707343652,0.4195794450074716,3.410731342422878e-05,0.0,0.0082450486668781,0.0674047604619539
2025-01-01 09:00:00,9101.73825,16180.868,10113.042500000001,15169.56375,0.9290876185521304,0.9434094297094524,0.961774832670477,0.4253595203514362,0.0071081487171809,0.0828012369611942,0.0680676114885254,0.2359739165506312
2025-01-01 10:00:00,9465.738299999999,16827.979199999998,10517.487000000001,15776.230499999998,0.890737328056178,0.8582883834317352,0.9111516740569972,0.3494107162868646,0.0263638718740275,0.1600921412349445,0.1611366212312843,0.3978576971633805
2025-01-01 11:00:00,9655.9137,17166.0688,10728.793,16093.189499999999,0.8946542813773922,0.878244660857516,0.9518363401899846,0.4003956430113122,0.0378856227685871,0.229346131851588,0.2141409127613565,0.4880541141077807
