time,Nord,West,Ost,Süd
2025-01-01 00:00:00,0.9895425381422476,0.7495142380491694,0.8500719764713333,0.24068601478575355
2025-01-01 01:00:00,0.9927774119372523,0.7799924440277183,0.8611121187176596,0.25752620413958044
2025-01-01 02:00:00,0.9957566906497551,0.7987479914061475,0.8871774798432238,0.2774944258013178
2025-01-01 03:00:00,0.9954131031482726,0.8195558420039478,0.9117131056999228,0.3077955056701883
2025-01-01 04:00:00,0.9983442989919185,0.8227058988961863,0.928523461462484,0.32863729254214236
2025-01-01 05:00:00,0.9987350060552908,0.8132563633394496,0.9360508694485631,0.339805744557808
2025-01-01 06:00:00,0.9968777562485691,0.8334364029794394,0.9466273087414195,0.36547688744885337
2025-01-01 07:00:00,0.9971914587455233,0.8847270127531197,0.9535298631612045,0.39629262522226427
2025-01-01 08:00:00,0.9510092198074059,0.9213794395983483,0.9558334707343651,0.4195794450074716
2025-01-01 09:00:00,0.9290876185521305,0.9434094297094524,0.961774832670477,0.42535952035143626
2025-01-01 10:00:00,0.890737328056178,0.8582883834317352,0.9111516740569972,0.3494107162868646
2025-01-01 11:00:00,0.8946542813773922,0.878244660857516,0.9518363401899846,0.4003956430113122
2025-01-01 12:00:00,0.8968035194375698,0.8898162366096452,0.9727817103560069,0.44672250832992194
2025-01-01 13:00:00,0.9418141349109275,0.949796045459856,0.9863879448952316,0.4838326945008861
2025-01-01 14:00:00,0.9953199517699374,0.9837855468288712,0.9919809765349697,0.5138786112560326
2025-01-01 15:00:00,0.999996154583878,0.9860562011419908,0.9942930310397569,0.5550296780872429
2025-01-01 16:00:00,0.9999772476786449,0.9895573475776127,0.9951415510463265,0.5885819841312632
2025-01-01 17:00:00,0.9984944302547222,0.9910031119312142,0.9966380972752423,0.6172722068946962
2025-01-01 18:00:00,0.9911050744590526,0.9938801987383508,0.9984522190904519,0.6398363053399407
2025-01-01 19:00:00,0.985221177468992,0.9946274978934897,0.9994793792268583,0.6588434618525763
2025-01-01 20:00:00,0.9785146198956738,0.9881250873218311,0.999764969500936,0.6691800574486019
2025-01-01 21:00:00,0.976863730970146,0.9713801103759744,0.9998034716224908,0.6789765609222689
2025-01-01 22:00:00,0.9467254076402477,0.9360045138365197,0.9965849520815668,0.6715007183352149
2025-01-01 23:00:00,0.9505719675666845,0.9196971665315643,0.9922405369853133,0.7000339505629751
2025-01-02 00:00:00,0.9509053756979257,0.8699938981150135,0.9874044913690495,0.7107188637138563
